Latitude,Longitude,CD4  (/km^2)
,,>200 mm
42.7445,6.0658,1.96
42.7228,6.1109,1.96
42.7162,6.1630,1.96
42.7330,6.2193,5.89
42.7869,6.3252,1.96
42.7962,6.3984,3.93
42.9189,6.4214,7.86
42.8812,6.4591,3.93
42.8458,6.4975,5.89
42.5963,6.8140,7.86
42.7810,5.8522,1.96
43.0480,5.5169,1.96
42.8129,4.9912,3.93
42.7914,4.9692,3.93
42.7650,4.9641,1.96
42.6713,4.9571,1.96
42.6302,4.9825,1.96
42.8864,5.7795,1.96
42.9479,5.8634,5.89
42.9344,5.8998,9.82
42.9151,5.9431,1.96
42.8977,5.9898,3.93
-33.9137,18.3237,6.70
-34.4994,16.8796,1.00
-34.4998,13.7682,0.90
-34.4999,8.1273,0.60
-34.4999,3.3942,4.10
-34.4999,2.7445,1.40
-34.6460,-0.6988,0.60
-34.7980,-1.4227,1.10
-34.9460,-2.1313,1.60
-35.0553,-2.6553,0.90
-36.2609,-8.4854,1.50
-37.4225,-12.4576,0.50
-36.5823,-7.0399,1.00
-36.0876,-1.3876,1.50
-36.0315,-0.7483,0.40
-35.9556,-0.0578,1.50
-35.8796,0.6236,0.60
-35.1912,6.7437,1.80
-35.1145,7.4225,2.70
-35.0363,8.1136,2.00
-34.9573,8.7961,4.40
-34.4273,13.4742,1.30
-34.3837,14.4911,0.80
-34.3871,14.9601,4.00
-34.3907,15.4412,2.20
-33.8993,18.2893,3.20
-34.0001,15.0857,0.30
-38.5160,11.2285,0.50
-59.4802,0.0118,0.20
2.3037,101.8536,112.90
2.4215,101.6940,203.90
2.6484,101.3775,118.40
2.8568,100.9803,102.40
3.1583,100.6398,20.50
3.4716,100.2591,7.90
5.5069,97.4760,17.10
5.6427,97.0270,15.80
5.7739,96.5858,10.20
5.9026,96.1541,6.20
6.0339,95.7130,0.50
6.1668,95.2768,1.60
6.9782,92.5532,4.90
7.1325,92.0312,8.70
7.2746,91.5464,3.60
7.4112,91.0720,3.30
9.1083,89.1532,5.70
9.4996,89.0420,2.00
9.9280,88.9212,0.60
10.3648,88.7960,1.30
10.7990,88.6758,0.70
11.8389,88.5981,0.60
12.2929,88.7153,1.90
12.7541,88.7501,0.40
14.8168,89.0953,3.10
15.2756,89.1725,0.70
17.4716,89.5102,5.90
18.0160,89.5479,2.60
17.9407,89.3400,6.70
18.0300,89.6801,2.30
17.5285,89.6424,4.70
16.0355,87.8699,2.20
15.8782,88.2682,1.30
12.6874,88.7831,0.50
12.1400,88.7046,1.30
8.8436,89.2881,0.60
7.4454,89.6913,1.30
7.0296,89.8447,0.60
6.7212,90.0107,1.30
6.8050,91.3838,0.70
6.7124,91.8258,1.40
6.6280,92.2253,2.90
6.5470,92.6240,5.80
6.4610,93.0193,2.90
6.3811,93.4229,3.20
5.7471,96.1514,9.80
5.6364,96.5635,10.30
5.5288,96.9558,24.80
5.4201,97.3536,12.00
5.2349,97.7096,12.80
5.0015,98.0552,18.50
3.2874,100.2856,5.30
3.0186,100.6328,1.70
2.7963,100.9829,5.00
2.5986,101.3538,19.50
2.3564,101.6925,13.20
